#OTU ID,Z1-A,Z1-C,Z1-N,Z1-R,Z11-A,Z11-C,Z11-N,Z11-R,Z13-A,Z13-C,Z13-N,Z18-A,Z18-C,Z18-R,Z23-C,Z23-N,Z23-R,Z26-C,Z26-N,Z26-R,Z28-A,Z28-C,Z28-N,Z28-R,Z29-A,Z29-C,Z29-N,Z29-R,Z32-A,Z32-C,Z32-N,Z32-R,Z36-A,Z36-C,Z36-N,Z36-R,Z39-A,Z39-N,Z39-R,Z4-A,Z4-C,Z4-N,Z4-R,Z40-A,Z40-C,Z40-N,Z40-R,Z43-C,Z43-N,Z43-R,Z44-A,Z44-C,Z44-N,Z45-A,Z45-C,Z45-N,Z45-R,Z46-C,Z46-N,Z46-R,Z5-A,Z5-C,Z5-N,Z5-R,Z6-A,Z6-C,Z6-N,Z6-R
fbdc1f17b1bf93a7ae21caf99727b337,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a310cab43d02860e84d72ddbd72af5b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0
398b27788c69fdc5fe17a1f8b223147a,0,0,0,0,0,0,0,0,0,0,31,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,112,217,40,0,0,0,0,146,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
750ef16a0bce6b3432574da4308bcf12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44b45826d4aac550205687a39442d966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,859,0,0,0,0,0,218,0,0,0,0,13,0,0,0,88,0,0,0,0,0,0,0,0,0,171,0,0,0,0,8,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
a4c405ebc46eb04af87a23595f0b9323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892148bc396d61aa00b045952c7d2f8,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,71,0,0,0,0,0,0,0,658,0,0,0,0,0,0,284,0
0f385f5158aa1ac6238cd718b8f38a9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0
0baee069c1409931e514d161309784aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec2c790205412285b4864b4ed7fd2596,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,32,0,0,0,0,0,0,0,0,0,695,0,0,0,0,47,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
4ffd180423492e2e7f6262dcc1f6883a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,0,0
